OBJECTID;Shape;STATION_NO;STATION_ADDR;POINT_X;POINT_Y
1;;30;4343 S LAKE HEFNER DR;2088035.33;197769.60
2;;37;16820 N PENNSYLVANIA AVE;2102515.73;234146.20
3;;3;11601 N MACARTHUR BLVD;2081170.03;214119.60
4;;15;2817 NW 122ND ST;2097751.53;216887.60
5;;33;11630 SW 15TH ST;2049062.53;163762.70
6;;20;7929 SW 29TH ST;2071705.73;158745.40
7;;36;17700 SE 104TH ST;2201846.23;132849.90
8;;35;13017 S MAY AVE;2098038.23;123359.50
9;;28;7101 S ANDERSON RD;2171698.73;144785.30
10;;13;7000 SE 74TH ST;2145739.53;143073.20
11;;31;618 N ROCKWELL AVE;2076826.03;172662.10
12;;9;1415 SW 89TH ST;2104869.03;137731.60
13;;18;4116 N PROSPECT AVE;2121823.53;186956.70
14;;12;2121 N MARTIN LUTHER KING AVE;2124179.73;179011.80
15;;5;24 NW 22ND ST;2113278.73;179431.80
16;;10;2039 NW 16TH ST;2103256.73;177332.30
17;;14;3129 NW 23RD ST;2096159.13;179924.00
18;;24;1500 N MERIDIAN AVE;2087367.73;176654.50
19;;1;820 NW 5TH ST;2109552.53;172499.30
20;;23;2812 S EASTERN AVE;2124446.53;159322.50
21;;16;405 SE 66TH ST;2116524.53;145717.70
22;;21;3240 SW 29TH ST;2095338.53;158551.50
23;;7;218 SW 23RD ST;2112331.93;160971.00
24;;6;21 N LINCOLN BLVD;2116615.53;170562.40
25;;17;2716 NW 50TH ST;2098713.03;190243.70
26;;34;8617 N COUNCIL RD;2070623.93;203770.90
27;;8;1934 EXCHANGE AVE;2102676.53;165032.40
28;;19;940 SW 44TH ST;2107873.63;153407.40
29;;32;12233 N MUSTANG RD;2049492.53;216462.80
30;;11;900 NW 50TH ST;2108990.33;190355.40
31;;27;6400 N WESTMINSTER RD;2166242.53;196141.10
32;;4;14200 HOGBACK RD;2191149.43;224656.50
33;;2;2917 E BRITTON RD;2128630.03;206468.40
34;;22;333 NW 92ND ST;2111306.63;205979.10
35;;25;2701 SW 59TH ST;2099169.93;148268.40
36;;26;7025 SW 119TH ST;2077289.55;127170.73
