Object_ID;School_Name;shape
1;DEWEY SCHL VISUAL & PERF. ARTS;POLYGON ((2117595.0800583661 184219.94991534948, 2117658.0399061888 184219.590007931, 2117656.5399091989 184522.15009835362, 2117052.44991003 184524.820040524, 2117053.369855687 184223.06014534831, 2117103.2401627749 184222.77011968195, 2117162.3899788558 184222.42989726365, 2117219.1300228536 184222.11001601815, 2117276.6098947823 184221.7799641788, 2117332.4001375288 184221.46008293331, 2117381.9899333566 184221.17989976704, 2117436.0600351989 184220.86986102164, 2117485.2600680292 184220.58016343415, 2117539.2199338526 184220.27012468874, 2117595.0800583661 184219.94991534948))
2;PARKVIEW ADVENTIST ACADEMY;POLYGON ((2124217.3000816107 187867.62011343241, 2124217.0999507755 188050.9199436903, 2123922.8899092823 188049.75984102488, 2123922.82002753 188182.58995594084, 2123761.5598513633 188182.21003544331, 2123760.7898397744 188229.95009744167, 2123589.71997194 188229.3598755151, 2123589.61990653 188248.03011377156, 2123520.1000324488 188249.09015102684, 2123518.3700490296 188504.04994294047, 2123256.2199827731 188502.75991927087, 2123256.4201136082 188438.53006085753, 2123256.6100738645 188375.39009526372, 2123256.7898635268 188314.07000793517, 2123256.9801518619 188254.97990301251, 2123257.1500990242 188196.069915846, 2123257.3400592804 188133.76984360814, 2123257.5398620218 188069.28014318645, 2123257.7199797779 188012.40000760555, 2123258.1599395275 187866.08993276954, 2124217.3000816107 187867.62011343241))
3;THELMA R. PARKS ES;POLYGON ((2121666.5899599493 183401.54997734725, 2121667.6798527688 182592.08013960719, 2122263.8400777727 182591.46006210148, 2122263.7199992687 183396.92006535828, 2121666.5899599493 183401.54997734725))
4;JOHN WESLEY CHARTER SCHOOL;POLYGON ((2125868.159968853 177826.88002435863, 2125917.0801466107 177826.96991918981, 2125965.1801160276 177827.04012902081, 2126017.8899843544 177827.11001077294, 2126064.4099044353 177827.19006310403, 2126117.5200344473 177827.27208393812, 2126169.0301020294 177827.34983968735, 2126218.5598586053 177827.42989201844, 2126218.2898460329 177690.98987618089, 2126342.9001611024 177692.21986059844, 2126343.1199769378 177745.34016118944, 2126343.7298838645 177798.48014676571, 2126344.7498949468 177851.60996176302, 2126346.1599971056 177904.74010485411, 2126347.979875356 177957.86007735133, 2126350.1898446977 178010.96003676951, 2126352.809918195 178064.0501536876, 2126355.8200827688 178117.13010002673, 2126359.2400234491 178170.19003327191, 2126363.0500551909 178223.22011093795, 2126367.2600205243 178276.22000493109, 2126367.840071857 178282.99984702468, 2125865.0500669479 178279.86402651668, 2125865.9700126052 178146.560159266, 2125866.8929110318 178011.350127846, 2125867.2908761054 177953.46015177667, 2125868.159968853 177826.88002435863))
5;KIPP REACH COLLEGE PREP;POLYGON ((2124111.5000963658 176101.07999826968, 2124111.0099398643 176362.85998651385, 2123481.3199262768 176362.75992110372, 2123477.0899478644 176100.16989509761, 2124111.5000963658 176101.07999826968))
8;SEEWORTH ACADEMY;POLYGON ((2118403.3261452764 218480.97194434702, 2118419.1630558521 216857.72092576325, 2119013.0348996073 216853.76194418967, 2119005.1169364452 217883.1411190182, 2119254.5439310223 217938.56915776432, 2119127.8509429395 218314.68815618753, 2119005.1169364452 218322.6061193496, 2119009.0759180188 218611.62391401827, 2118854.66907461 218575.99209551513, 2118684.425976783 218480.97194434702, 2118403.3261452764 218480.97194434702))
9;MARCUS GARVEY LEADERSHIP CS;POLYGON ((2121977.142160356 181210.26006861031, 2121975.2228728533 180613.45614410937, 2122270.7459038645 180613.45614410937, 2122272.6648632735 181210.26006861031, 2121977.142160356 181210.26006861031))
10;SANTA FE ES;POLYGON ((2113997.4520830214 124094.06885501742, 2113986.1250059456 124704.09388168156, 2113204.580965355 124707.33009569347, 2113181.9281235188 124692.76713268459, 2113183.5459024459 124422.54391984642, 2113186.7821164429 124090.83296909928, 2113997.4520830214 124094.06885501742))
11;EASTLAKE ES;POLYGON ((2106057.8400095254 122452.05999994278, 2106057.3298399448 122511.74984118342, 2106056.5699989349 122570.7500512749, 2106055.81015794 122637.76008784771, 2106055.2999883592 122693.38005535305, 2106054.5401473641 122755.62993085384, 2106054.0299777687 122819.63997343183, 2106053.509965688 122876.58014826477, 2106053.0001241863 122934.33003276587, 2106052.4899546057 122991.44999727607, 2106051.980113104 123056.39015610516, 2106051.4699435234 123122.76994460821, 2106050.9601020217 123186.52014519274, 2106050.1999329478 123251.02001619339, 2106049.690091446 123308.45986193419, 2106049.6799208522 123321.84008452296, 2105989.4300413579 123321.8299139291, 2105928.1801638603 123321.74986159801, 2105869.1799537688 123321.74001909792, 2105808.4300752729 123321.67013734579, 2105748.6798666865 123321.53004576266, 2105725.9299121946 123321.53004576266, 2105730.3898770213 122634.36016027629, 2105731.2399409413 122554.73007018864, 2105731.69991377 122476.18003043532, 2105732.1598866135 122397.62014818192, 2105732.610016942 122319.0701084435, 2105733.0699897707 122240.52006869018, 2105734.0099485219 122078.50005151331, 2105734.0900008529 122065.6798671931, 2105734.1300270259 122059.40002410114, 2105734.4098821133 122015.61992794275, 2106061.9200538546 122017.74000243843, 2106061.6598837823 122066.98990394175, 2106060.3898731917 122203.30984127522, 2106059.6198616028 122270.62007410824, 2106059.110020116 122329.30991734564, 2106058.5998505205 122387.44005043805, 2106057.8400095254 122452.05999994278))
12;MOORE-NORMAN CAREER TECH ;POLYGON ((2102419.8200546056 122019.46014335752, 2102418.3200576156 121984.20988577604, 2103424.5998691916 122000.8899705261, 2103422.3698867708 123314.01989018917, 2103422.3600442708 123315.92999134958, 2103422.0099793524 123480.55991142988, 2102098.4299493581 123480.32008251548, 2102100.6901154369 122894.48988935351, 2102409.1501284391 122894.54992860556, 2102409.3099050224 122019.51985451579, 2102419.8200546056 122019.46014335752))
